שם יישוב,מחוז
אבו גוש,Jerusalem
אבו סנאן,Northen
אבו קורינאת (יישוב),Southern
אבו תלול,Southern
אבטין,Haifa
אבטליון,Northen
אביאל,Haifa
אביבים,Northen
אביגדור,Southern
אביחיל,Central
אביטל,Northen
אביעזר,Jerusalem
אבירים,Northen
אבן יהודה,Central
אבן מנחם,Northen
אבן ספיר,Jerusalem
אבן שמואל,Southern
אבני איתן,Northen
אבני חפץ,Judea and Samaria
אבנת,Judea and Samaria
אבשלום,Southern
אדורה,Judea and Samaria
אדירים,Northen
אדמית,Northen
אדרת,Jerusalem
אודים,Central
אודם,Northen
אוהד,Southern
אוהלו,Northen
אום אל פחם,Haifa
אום אל קוטוף,Haifa
אום בטין,Southern
אומן,Northen
אומץ,Central
אופקים,Southern
אור הגנוז,Northen
אור הנר,Southern
אור יהודה,Tel Aviv
אור עקיבא,Haifa
אורה,Jerusalem
אורון,Southern
אורות,Southern
אורטל,Northen
אורים,Southern
אורנים,Haifa
אורנית,Judea and Samaria
אושה,Haifa
אזור,Tel Aviv
אזור תעסוקה משגב(תרדיון),Northen
אזור תעשייה אכזיב (מילואות),Northen
"אזור נהריה של""ש",Northen
אזור תעשייה נעמן (מילואות),Northen
אחווה,Southern
אחוזם,Southern
אחוזת ברק,Northen
אחיהוד,Northen
אחיטוב,Central
אחיסמך,Central
אחיעזר,Central
איבים,Southern
אייל,Central
איילת השחר,Northen
אילון,Northen
אילון תבור*,Northen
אילות,Southern
אילניה,Northen
אילנייה,Northen
אילת,Southern
אירוס,Central
איתמר,Judea and Samaria
איתן,Southern
איתנים,Jerusalem
אכסאל,Northen
אל סייד,Southern
אל -עזי,Southern
אל -עריאן,Haifa
אל -רום,Northen
אלומה,Southern
אלומות,Northen
אלון הגליל,Northen
אלון מורה,Judea and Samaria
אלון שבות,Judea and Samaria
אלוני אבא,Northen
אלוני הבשן,Northen
אלוני יצחק,Haifa
אלונים,Northen
אליאב,Southern
אליכין,Central
אלי עד,Northen
אליפז,Southern
אליפלט,Northen
אליקים,Northen
אלישיב,Central
אלישמע,Central
אלמגור,Northen
אלמוג,Judea and Samaria
אלעד,Central
אלעזר,Judea and Samaria
אלפי מנשה,Judea and Samaria
אלקוש,Northen
אלקנה,Judea and Samaria
אמונים,Southern
אמירים,Northen
אמנון,Northen
אמציה,Southern
אניעם,Northen
אספר,Judea and Samaria
אעבלין,Northen
אפיק,Northen
אפיקים,Northen
אפק,Northen
אפרתה,Judea and Samaria
אפרת,Judea and Samaria
ארבל,Northen
ארגמן,Judea and Samaria
ארז,Southern
אריאל,Judea and Samaria
ארסוף,Central
אשבול,Southern
אשבל,Northen
אשדוד,Southern
אשדות יעקב איחוד,Northen
אשדות יעקב מאוחד,Northen
אשחר,Northen
אשכולות,Judea and Samaria
אשל הנשיא,Southern
אשלים,Southern
אשקלון,Southern
אשרת,Northen
אושרת,Northen
אשתאול,Jerusalem
באקה א שרקיה,Judea and Samaria
באקה אל גרביה,Haifa
באר אורה,Southern
באר גנים,Southern
באר טוביה,Southern
באר יעקב,Central
באר מילכה,Southern
באר שבע,Southern
בארות יצחק,Central
בארותיים,Central
בארי,Southern
בוסתן הגליל,Northen
בועיינה נוג'יידאת,Northen
בוקעאתא,Northen
בורגתה,Central
בחן,Central
בטחה,Southern
"בי""ס אזורי מקיף (אשר)",Northen
ביצרון,Southern
ביר אל-מכסור,Northen
ביר הדאג',Southern
ביריה,Northen
בית אורן,Haifa
בית אל,Judea and Samaria
בית אלעזרי,Central
בית אלפא,Northen
בית אריה-עופרים,Judea and Samaria
בית ברל,Central
בית גוברין,Southern
בית גמליאל,Central
בית ג'ן,Northen
בית דגן,Central
בית הגדי,Southern
בית הלוי,Central
בית הלל,Northen
בית העמק,Northen
בית הערבה,Judea and Samaria
בית השיטה,Northen
בית זיד,Northen
בית זית,Jerusalem
בית זרע,Northen
בית חולים פוריה,Northen
בית חורון,Judea and Samaria
בית חרות,Central
בית חירות,Central
בית חלקיה,Central
בית חנן,Central
בית חנניה,Haifa
בית חשמונאי,Central
בית יהושע,Central
בית יוסף,Northen
בית ינאי,Central
בית יצחק שער חפר,Central
בית לחם הגלילית,Northen
בית מאיר,Jerusalem
בית נחמיה,Central
בית ניר,Southern
בית נקופה,Jerusalem
בית עובד,Central
בית עוזיאל,Central
בית עזרא,Southern
בית עריף,Central
בית צבי,Haifa
בית קמה,Southern
בית קשת,Northen
בית רבן,Central
בית רימון,Northen
"מ. א. מרום הגליל	",Northen
מ. א. בקעת בית שאן,Northen
בית שאן,Northen
בית שמש,Jerusalem
בית שערים,Northen
בית שקמה,Southern
ביתן אהרן,Central
ביתר עילית,Judea and Samaria
בלפוריה,Northen
בן זכאי,Central
בן עמי,Northen
בן שמן (כפר נוער),Central
בן שמן (מושב),Central
בני ברק,Tel Aviv
בני דקלים,Southern
בני דרום,Central
בני דרור,Central
בני יהודה,Northen
בני נצרים,Southern
בני עטרות,Central
"בני עי""ש",Central
בני ציון,Central
בני ראם,Central
בניה,Central
בנימינה גבעת עדה,Haifa
"בסמ""ה",Haifa
בסמת טבעון,Northen
בענה,Northen
בצרה,Central
בצת,Northen
בקוע,Jerusalem
בקעות,Judea and Samaria
בר גיורא,Jerusalem
בר יוחאי,Northen
ברוכין,Judea and Samaria
ברור חיל,Southern
ברוש,Southern
ברכה,Judea and Samaria
ברכיה,Southern
בר-לב,Northen
ברעם,Northen
ברק,Northen
ברקאי,Haifa
ברקן,Judea and Samaria
ברקת,Central
בת הדר,Southern
בת חן,Central
בת חפר,Central
בת ים,Tel Aviv
בת עין,Judea and Samaria
בת שלמה,Haifa
בתי זיקוק - קישון,Haifa
גאולי תימן,Central
גאולים,Central
גאליה,Central
גבולות,Southern
גבים,Southern
גבע,Northen
גבע בנימין,Judea and Samaria
גבע כרמל,Haifa
גבעולים,Southern
גבעון החדשה,Judea and Samaria
גבעות בר,Southern
גבעת אבני,Northen
גבעת אלה,Northen
גבעת ברנר,Central
גבעת השלושה,Central
גבעת זאב,Judea and Samaria
"גבעת ח""ן",Central
גבעת חביבה,Haifa
גבעת חיים איחוד,Central
גבעת חיים מאוחד,Central
גבעת יואב,Northen
גבעת יערים,Jerusalem
גבעת ישעיהו,Jerusalem
"גבעת כ""ח",Central
"גבעת ניל""י",Haifa
גבעת עוז,Northen
גבעת שמואל,Central
גבעת שמש,Jerusalem
גבעת שפירא,Central
גבעתי,Southern
גבעתיים,Tel Aviv
גברעם,Southern
גבת,Northen
גדות,Northen
ג'דיידה-מכר,Northen
גדיש,Northen
גדעונה,Northen
גדרה,Central
ג'וליס,Northen
ג'ולס,Northen
גונן,Northen
גורן,Northen
גורנות הגליל,Northen
גזית,Northen
גזר,Central
גיאה,Southern
גיבתון,Central
גיזו,Jerusalem
